id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
13-513,sediment is formed by weathering,"if a solid piece stands out in the elements, and reduces in size over time, what might have happened?",3,it is moving away,it has been depressed,it has been stolen,it has been weathered down
13-515,something reusable can be used more than once,A/an __________________ is reusable,1,liquid soap,dish towel,band-aid,apple
13-516,An example of reproduction is laying eggs,An example of reproduction is,1,sleeping,mestrual vessel releasing,skipping,snacking
13-517,metal is an electrical energy conductor,What could be a conductor of energy?,0,a nickel,carrots,wood,cotton
13-518,food spoiling has a negative impact on the health of the animal that eats that food,Eight month old tuna salad will make a person,3,hairy,rich,clean,sick
13-519,if an organism makes food for itself then that organism does not need to eat other organisms,if an organism makes food for itself then that organism needs to,2,take naps,swim fast,synthesize itsenergy,ride bicycles
13-520,An example of conservation is avoiding waste,Slurping down your urine shows you're,1,bed-wetting,recycling,menstruating,preserving wetlands
13-524,safety goggles are used for protecting the eyes during experiments,safety goggles are used for protecting the eyes during,1,sleeping,persuits of knowledge,dancing,singing
13-525,natural disasters can cause animals to leave an environment,natural disasters can cause animals to,2,deep fry,dance,trek,nap
13-527,"as mass of a celestial body increases , the force of gravity on that planet will increase","if you increase the mass of a celestial body, it will",2,lose rotation,lose gravitational force,gain gravitational force,maintain it's gravity
13-529,a glacier causes mechanical weathering,Which is true?,0,glaciers make depressions that water can pool in,lions hunt glaciers in the wild,glaciers are generally high temperature objects,glaciers can change directions rapidly for speed
13-531,"as temperature during the day increases , the temperature in an environment will increase",When would most people wear shorts?,3,a ski trip,a cold night,a cold morning,a noon picnic
13-535,bees eat pollen,Where do bees get nutrition?,3,seeds from a farmer's field,from the leaves of trees,the local grocery store,a powdery substance found in the reproductive parts of plants
13-536,soil erosion is when wind move soil from environments,The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,1,insects,weathering,erosion,lava
13-538,vaccines can help prevent illness,"Dozens in your workplace are sick with the flu. To protect yourself, you might",0,inject yourself with deactivated elements of the illness,inject yourself with a smallpox vaccine,Inject yourself with a healthy person's blood,inject yourself with morphine
13-541,if a weed is pulled then that weed is destroyed,If your grandma sends you out in the yard to get the weeds out of the garden she means to,1,water the weeds thoroughly,rip them out of the soil,fertilize and till the weeds,ask them to leave the yard
13-543,a leaf absorbs sunlight to perform photosynthesis,Stopping the photosynthesis process would require,1,providing a plant with a oxygen rich environment,placing a plant in total darkness 24/7,watering a plant regularly,putting a plant in a sunny area
13-547,camouflage can be used for hunting for prey,An hunter that wants to be undetected seeking out deer in the forest might,0,be dressed bushy green and brown attire,cover themselves in tree sap,be dressed in arctic camouflage,change their facial expression
13-548,the amount of daylight is least on the winter solstice,The winter solstice is the shortest day in the northern,2,sky,parts of Australia,globes top half,counties of Tasmania
13-549,avoiding predators has a positive impact on prey 's ability to reproduce,A way for an octopus to evade predators is to,1,befriend the predator,emulate a rock,swim around,bury itself underground
13-550,metal is sometimes magnetic,Metal is sometimes what?,2,wooden,salty,polar opposite,wind
13-551,hunting means humans kill animals in the wild,hunting means humans stalk and murder animals in,2,space,bathrooms,the sahara,television
13-552,January is during the winter in the northern hemisphere,January is during the winter in what location?,2,Cape Town,Melbourne,Caracas,Rio de Janeiro
13-554,some flowers become fruits,Which is likely to have come from the same supplier that the florist gets their product from?,3,a laptop computer,a human,a steak,a durian
13-555,claws are used to catch prey by some predators,An eagle will use their claws to catch which of the following?,3,nuts,elephant,bear,mouse
13-557,friction occurs when two object 's surfaces move against each other,Friction might be,1,Breathing,rubbing knees,Running,Rainbows
13-559,the North Star does not move in the sky in the Northern Hemisphere each night,Sailors guided themselves with the night sky using a,2,the sun,the moon,never moving star,light houses
13-560,microscope is used to see small things by making them appear bigger,"If you want to study a flower closely, use",0,an enlarger,a fork,a mirror,a telescope
13-561,shivering is when an animal creates heat by shaking to keep the body warm,A person in the tundra without a clothing will,1,fly,shiver,experience heatstroke,undress
13-563,burning gasoline is a source of pollution,Which is bad for the environment?,1,recycling old goods,using a generator,protecting nature,eating food
13-566,fire causes harm to living things,A thing that avoids all harm for its entire life will most likely avoid ever experiencing,3,having a warm shelter,drinking plenty of water,being given a meal,being set on fire
13-567,birds lay eggs,birds lay,3,rocks,clouds,trees,calcium life pods
13-568,a body of water is a source of water,You can eventually obtain water from a lake even if it's,0,frozen,gone,evaporated,dry
13-572,Galileo Galilei made improvements to the telescope to make better observations of celestial bodies,Galileo dismissed what as a mere star?,0,Neptune,Venus,Saturn,the moon
13-573,eagles eat rabbits,Some Eagles might even consume,2,Love,Emotions,Sloths,Astroids
13-574,a thermometer is used to measure temperature,A good place to use a thermometer is,0,your butt,a radio,a wall socket,a bookbag
13-575,the moon 's surface contains many craters,the moon 's surface contains many,3,trees,oceans,smoothies,ground bumps
13-577,drought may cause wildfires,"wildfire that is passed through the tree tops are dangerous, why?",0,it changes at the tip of a hat,it has magic powers,it creates a blackhole to suck up Earth,it has the power to travel in time
13-578,if a new predator begins eating prey then the population of that prey will decrease,One of the reasons some species go extinct is because predators,2,have school with them,tickle and cuddle them,murder too many of them,go dancing with them
13-579,"when a plant grows , the number of the leaves of that plant may increase",Guavas with many leaves,0,are mature,haven't grown,are immature,are birds
13-580,classifying means grouping materials by their properties,One way to remember the method of Scientific Classification is,3,run,dive,swim,make a sentence
13-581,a star is made of gases,Which is true?,2,balloons and stars are composed of exactly the same materials,balloons and stars are the same size,stars and balloons share some of the same gases,balloons and stars contain sodium
13-582,evaporation is when water is drawn back up into the air in the water cycle,Sprinklers during the summer is prohibited because of,1,documentation,vaporization,solicitation,rowdy neighbors
13-583,the Earth rotating on its axis causes stars to appear to move across the sky at night,Which of these could be a reason why the stars seem to be in a different place at dusk than at dawn?,2,rotation of the sky,rotation of the sun,rotation of the earth,rotation of the person
13-584,special tissues in plants transport minerals throughout the plant,Special tissues in plants transport minerals throughout what?,0,flora,space,planets,atmosphere
13-585,if a habitat is destroyed then that habitat can not support animals,if a habitat is destroyed then that habitat,3,is clean,is smelly,is super,is gone forever
13-587,a plant light is used for help plants by mimicking sunlight,You can use what to fake sunlight for plants?,1,love,a flash light,breathing,water
13-589,plastic is a nonrenewable resource,which one of these would make a great organic manure later on?,2,a plastic spoon and fork,a white plastic chair,a family of raccoons,a plastic water bottle
13-590,a moth undergoes metamorphosis,Breaking free from it's cocoon is the last part it's,1,mid-life crisis,mutation,fashion sense,diet
13-591,a desert environment is dry,which one of these places would a person have the least need for a clothes dryer?,2,in the tropical rain forest,in a humid cave,in the hot desert,in a wet town
13-594,adding heat to something kills viruses in that something,"in the presence heat, which of these comes about?",0,a melted snocone at the cafeteria,an ice cream cone,a piece of gum,a large metamorphic rock
13-595,flowing liquid can push objects,"If a creek is headed to the west and a stone is tossed in and sinks, but a leaf also drops in and stays on top of the water, what will likely happen?",0,the leaf heads west,the stone will burn,the stone floats up,the leaf heads north
13-596,if an animal eats another animal then that animal is a carnivore or omnivore or predator,a little rat startles a cat and ends up as the cat's lunch. What does that make the car?,2,the cat is a dog,the cat is a bad cat,the cat is carnivorous or omnivorous,the cat loves milk
13-598,bacteria can cause people to become ill,Single cell organisms can put an animal in the,2,funny farm,space program,emergency room,hall of fame
13-600,steam is a kind of water above 100 degrees celsius,steam is a kind of water above,1,the stove,373 kelvin,the moon,jupiter
13-602,seasons cause change to the environment,As the earth tilts towards the sun you will see,1,frozen glaciers,yards being mowed,blizzards daily,leaves being raked
13-603,melting is when solids are heated above their melting point,A plastic toy reduced to a puddle was left on a,3,steep mountain,iceberg,government propaganda flick,hotplate
13-604,a flower produces pollen and seeds,"If a thing is a producer of pollen and seeds, it may be located in",3,a cabinet,a bag,a microwave,a vase
13-606,an animal requires air for survival,"If a young tern is found in a locked box, dead, without marks on it, a the most likely cause of death was",3,violent stabbing,accidental shooting,ceremonial burning,untouched asphyxiation
13-607,a rainbow is formed by refraction of light by splitting light into all different colors,Marbles in the right light make,0,rainbows,thee channel change,demons appear,the sun appear
13-609,plants are a source of biofuel,Which of these might use plants for an energy source,1,television,station wagon,toy car,action figure
13-610,the coloration of fur is an inherited characteristic,Who is likely to receive its coloration and hairy body from its parents?,1,Peter the Parakeet,Valentina the Vole,Terry the Tuna,Greta the Grouper
13-613,the floating arrow on a compass always points towards the north,The floating arrow on a compass always points away from the,1,east,south,west,north
13-614,ink is used for hiding from predators by octopuses,"a scuba diver startles an octopus, and suddenly the water changed color, what happened?",2,it died and released a color,it was amused by the diver,it was trying to hide from the diver,it was thanking the diver
13-615,An example of a mixture is clay mixed together,A good mixture would be,1,water and olive oil,coffee and almond creamer,salt and fresh tacos,sugar and frozen milk
13-616,a desert environment is low in availability of water,A sea cow would be most uncomfortable in,0,a desert,a fjord,an ocean park,lots of water
13-617,water vapor is found in the atmosphere,Clouds flit and flow,2,in a bank,on the internet,above our heads,in cloudless skies
13-618,pollination requires pollinating animals,Which is likely to be a step in a shrub's reproductive process?,3,a logger chops the shrub down,a fire ravages the shrub and its local ecosystem,a human makes a smoothie out of some raspberries,a hare eats its berries and deposits leftovers far away
13-620,An example of evaporation is a body of water drying up by absorbing heat energy,An example of evaporation is a body of water drying up by,0,prolonged solar expsosure,cooking lunch,taking naps,smiting enemies
13-621,humans moving into an environment usually causes native species to lose their habitats,What to humans do that causes animals to lose their habitats?,0,make apartments,take walks,sing songs,eat corn
13-623,if all members of a species cannot produce offspring then that species will likely become extinct,Which is likely to disappear?,0,the last surviving member of a population,a male and female rabbit,a male and female horse,a wild dandelion root
13-624,a fish lives in water,a fish lives in water and filters the water through its,1,tail,gill slats,eyes,fins
13-625,if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors,If one electrical conductor touches another one what will flow through them both?,0,zapping power,tea,water,milk
13-626,baking soda can react chemically with vinegar,Baking soda can react chemically with what?,0,oxidized alcohol,sunlight,dirt,wind
13-628,harming an animal species causes that animal 's population to decrease,Incinerating half a herd of cows means there will be,0,fewer cows,slightly more cows,more cows,many more cows
13-630,the shape of body parts is an inherited characteristic,The size of a persons head is,3,changed,calculated,determined by food,predetermined
13-631,conserving resources has a positive impact on the environment,To have a positive impact of the environment,3,use Styrofoam plates and bowls,use more paper towels,drive a car that guzzles gas,salvage plastic bottles instead of throwing them away
13-632,landslides often occur on mountains,It's easy to be crushed by rocks lounging,0,near a sloping mountainside,on a frozen pond,on a mall escalator,in the middle of a peaceful cemetery
13-635,a solar panel converts sunlight into electricity,a solar panel converts astral radiation into electricity which charges a  rechargeable battery that can go into an,2,cupcake,rock,illuminated police baton,stick
13-636,being exposed to heat can cause erosion of rocks,A contractor could take the granite off your kitchen counter and,2,break it with feathers,damage it with a couple ice cubes,destroy it in a volcano,make it really feel badly about itself
13-637,poisonous darts are used for defense by sea anemones,"a person takes a dive under the sea and feels faint, with a dart stuck to them. What might have happened?",0,they encountered a cnidaria,they must have startled a shark,they came in contact with a whale,they encountered the wrath of Poseidon
13-638,detailed observation of celestial objects requires a telescope,A telescope is required for detailed observation of what?,3,mountains,oceans,clouds,astral bodies
13-640,a flashlight emits light,Flashlights require batteries,0,to properly illuminate objects,to illuminate alien creatures,to be used as a weapon,to meet height values
13-642,"as force exerted on an object increases , distance travelled will increase",If I wanted to make something move faster I could,3,slow it down,stomp on it,stop it,roll it
13-646,seed dispersal has a positive impact on a plant,Some plants have developed the ability to do what with their seeds?,2,put makeup on,go running,catapult,do magic
13-647,an organism breaks down sugar to release energy,Which of these allows humans to walk around?,1,luck,glucose,magic,sand
13-648,young amphibians breathe through gills,What is most like a fish?,0,offspring of frogs,a desk,a diva,a solar system
13-649,inheriting is when a inherited characteristic is passed from parent to offspring by genetics,Which relationship involves inheritance of genetics?,0,mother-daughter,friend-friend,teacher-student,husband-wife
13-650,if a magnet is attracted to a metal then that magnet will stick to that metal,Which is likeliest to attract a magnet?,1,feathers,a wrench,hair,blood
13-651,seals every year return to the same beaches to give birth,Seals have an instinct to give birth in the same area every year. Where do seals give birth normally?,2,Jupiter,space,waterfronts,houses
13-653,"as flatness of a leaf increases , the amount of sunlight that leaf can absorb will increase",Which absorbs more sunlight?,0,palm frond,a mirror,maple syrup,Wednesday
13-654,sharp beaks are a kind of adaptation for catching prey,sharp beaks are a kind of adaptation for catching,1,sticks,small food beings,bubbles,rocks
13-655,two females can not usually reproduce with each other,two females are incapable of,0,conjuring kin,talk,dance,jog together
13-657,if seeds stick to the fur of an animal then that seed will be transported by the animal,Sticky balls from a plant can grow a new plant miles from the original because,0,a bear unknowingly transported it,they bounced when they fell,they were transported by ants,they were carried there by a pterosaur
13-658,if an animal relies on plants for food then that animal must store enough food to last through the winter,Herbivores who live in climates that get cold must find other sources of food in the winter because plants,3,fly,cry,Eat candy canes,will be gone
13-660,snow falls during the winter in the arctic environment,Rabbits with white fur are hardest to detect in,3,a forest in Spring,The middle of a well-lit street,Mexico in the Winter,the arctic in Winter
13-661,"as elevation of a place decreases , how much a flood will affect that place will increases",How is a place of lower elevation affected by flooding when compared to a higher location?,2,It is more resistant than a higher place,The lower area is already flooded,It is more affected by the flood,It is impossible to flood a lower elevation location
13-662,aluminum is a nonrenewable resource,Which are likeliest to rely on nonrenewable resources?,3,windmills,dams,solar panels,cell phones
13-664,cows only eat plants,Cows only eat what?,0,flora,animals,water,bugs
13-666,"when a switch in a simple series circuit is closed , electricity will flow through the circuit",One type of electrical circuit that requires a switch could be,2,running,diving,dimming table lights,swimming
13-668,a meter stick is used to measure length,To measure the length of a elephant's trunk you would need,0,a tape measure,a tusk,a scale,a pool
13-669,quartz scratches glass easily,What scratches glass easily?,1,a rubber pencil eraser,a crystal that regulates electronic oscillators in watches,a soft linen towel,a round piece of ice
13-673,birds are a vehicle for spreading the seeds of a plant,"It's quite common for birds feeding on seeds from flowering trees in some tropical waters to get weighed down, pricked and even entangled in the branches because",2,seeds sprout better on the ground,smooth seeds need water to reach other islands,"the seeds have a thick, sticky coating with hooks",scavengers also hunt for seeds with mucousy coatings
13-674,an organism is a source of organic matter,Which object would have more tightly packed matter,0,gold,gas,wood,water
13-675,the amount of daylight is greatest on the summer solstice,The largest amount of natural illumination will likely occur for a Floridian in,1,space,june,october,january
13-677,a flashlight requires a source of electricity to produce light,"If a handheld cylinder is allowing people to see in the forest after dusk, then the item likely",2,needs a blanket,is a stone,hooks to outlets,uses knitting needles
13-679,"as available water decreases , the population of plants will decrease",The population of plants will go down if,3,nobody cuts them down,the people leave them alone,the rabbits avoid them,there's less liquid around
13-680,an animal requires energy to move,What requires energy to move?,2,a rock,a cloud,a monkey,a leaf
13-683,In the food chain process an animal has the role of consumer which eats producers for food,In the food chain process an animal has the role of consumer which eats producers for what?,3,grass,sea,water flow,sustenance
13-686,warm-weather organisms live in warm climates,For what purpose does a plant light serve?,0,Mimic sunlight,Comfort them,Keep plants cool,Protect from bugs
13-687,stalactites are formed by deposition,"If things are deposited consistently in dark, cavernous area, then a thing that could develop is",1,apple juice,a stalactite,road rash,blue jeans
13-691,if food is cooked then heat energy is added to that food,If food is cooked what kind of energy is added to it?,2,solar,cold,hotness,freezing
13-692,A bee is a pollinating animal,A bee is a pollinating,0,moving alive thing,rock,tree,song
13-693,echolocation is when some animals detect objects by hearing echoes by emitting sound,"If a creature is looking for things but is using something other than its eyes or nose, then it is likely",1,condensing,echolocating,reproducing,revolving
13-696,birds with beaks of different shapes eat different foods,Toucans' beaks are for show but also can be used for,3,toasting,coloring,dancing,skinning fruits
13-697,decomposition is when a decomposer recycles nutrients from dead organisms to the soil by eating those dead organisms,Which of the following is an example of decomposition?,1,a dog eating dog food,something growing on a dead tree trunk,a lion eating a gazelle,a parrot eating bird seed
13-698,the ability to find resources has a positive impact on an organism 's survival,Sound pulses helps dolphins,2,satisfy women,find God,find nourishment,find ibexes
13-699,melting means changing from a solid into a liquid by adding heat energy,Dropping butter into a boiling water would cause it to,2,hoover,grow,liquefy,refreeze
13-700,An example of hitting something is dropping an object onto that something,Japan made Pearl Harbor,1,the sky,it's victim,the moon,boring and empty
13-705,light can travel through a vacuum,light can travel through,2,trees,rocks,matterless places,rubber
13-709,adult amphibians live on land,"if a person found a toad in the water, where else would it normally be?",0,it would be on the ground,it would be in the air,it would be in the sea,it would be in a volcano
13-710,a cactus stem is used for storing water,Someone stranded in the Sahara can potentially save their life with a,1,dried plant,prickly plant's trunk,water buffalo,dead cactus
13-712,friction is used for stopping a vehicle by brakes,friction is used for stopping a vehicle by,3,running,singing,smelting,squeezing
13-716,plants are the source of fruit,The objects the push up through the deep black stuff that covers the ground gives us an item that is inserted in a sweet treat with a flaky bottom of flour  that can be eaten with ice cream on top?,3,Leafs,Eggs,Milk,Fruit
13-717,decomposition increases the amount of nutrients in the soil,Maggots eat flesh turning it into,1,dryer,nourishment for soil,rancid,deadlier
13-718,a windmill does not create pollution,Another term for wind energy is clean energy because the wind and air contains,2,Seven,under energy,zero pollutants,moon
13-719,tunnels in soil loosen that soil,What loosens soil?,1,iron,boring,metals,sunlight
13-720,if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water,If a person has an unwanted raccoon rifling thru their trash they should,0,be sure to keep their trashcan tightly closed and secured,leave more scraps out for the raccoon,be sure to put out some water so the raccoon is super healthy,put loose food scraps in the trashcan
13-721,if a body part was burned then that body part was exposed to a lot of heat energy,A hot stove can burn,2,the sun,a stone monument,your elbow,diamonds
13-722,living things can all reproduce,What can reproduce,3,Spoon,Keyboard,Deceased cat,Living dog
13-723,long ears are used for releasing heat by a jackrabbit,"Jackrabbits live in very hot environments, but are able to stay cool because their long ears help",0,releasing warmth,sing songs,make eggs,change tires
13-724,a cactus stores water,"The smallest known species of cactus, called Blossfeldia Liliputana, is named after",1,The Hobbit characters by J. R. R. Tolkien,a fictional island in Gulliver's Travels by Jonathan Swift,Frodo Baggins from Lord of the Rings,Bilbo Baggins from Lord of the Rings
13-726,adulthood is a stage in the life cycle process,A stage in the life cycle process includes what aspect?,1,killing of kin,entity replication,transporting water,reproducing ideas
13-735,adding salt to a liquid decreases the melting point of that liquid,"If a person is running a salad bar and needs to keep the bar cold, and therefore the ice frozen, they might",0,pour sodium over the ice,put the ice in the sun,melt the ice on a stove,throw the ice away
13-736,crop rotation is when different crops are planted on a field in different years,"over a period of three years, a farmer cultivates, corn, millet and potatoes. What is this exemplary of?",2,An amateur farming practice,a way to gain attention,a manner of rotating,a way to confuse spectators
13-743,heavy rains cause flooding,You may need a raft after a,3,television broadcast,drought,meteor shower,deluge
13-744,most predators live near the same environment as their prey,"Of these, a wolf will make its home very nearest to",0,mink,humans,lions,whales
13-746,squirrels eat edible plants,What would a squirrel like for nutrition?,0,safe plants,insects,worms,poisonous plants
13-747,An example of a reproductive behavior is salmon returning to their birthplace to lay their eggs,"if a salmon visits the site of its birth, what could be the reason for that?",0,it is coming to have its own offspring,it is coming home to die,it is coming to see its father,it is coming to visit its mom
13-749,An example of stormy weather is rain,Which likely provides a neutral effect to local organisms?,3,asteroid impact,habitat destruction,9.0 earthquake,stormy weather
13-750,reproduction produces offspring,Reproduction produces what?,1,energy,younglings,flames,water
13-751,non-contact forces can affect objects that are not touching,What will become magnetic in an electromagnet if the battery becomes active?,1,A nail box,A construction nail,A plastic nail,A wooden nail
13-753,the sun is the source of energy for life on Earth,"Without the sun providing warmth and light, life on Earth would",2,nothing,flying,an impossibility,Mars
13-754,"as distance to an object increases , that object will appear smaller","a man drives away from his dog, and the dog progressively got smaller in the rear view mirror. what was happening?",3,the dog was evaporating,the distance between them remained same,the distance between them was going down,the distance between them was going up
13-757,a scale is used for measuring weight,A scale is used to measure what?,1,location,heaviness,length,height
13-760,humans building homes in an ecosystem causes that environment to change,The everglades where nearly wiped out by,1,the sun,builders,sea cows,alligators
13-761,smell is used for finding food by some animals,"If a dog is hunting, then",3,it can sense whales nearby,it can sense toys around,it is getting tired,it can sense something using the olfactory
13-762,nectar is used for attracting pollinators by plants,Nectar is used to attract pollinators to what?,0,flora,animals,soil,hives
13-763,some rabbits live in forests,Rabbits can be found in,3,filthy magazines,nuclear reactors,moonbeams,treed areas
13-764,a plants require water for to grow,All plants require this,2,humans,insects,H2O,trees
13-765,deep sea animals live deep in the ocean,deep sea animals live way down in the,1,volcanoes,wet abyss,sky,mount everest
13-766,looking directly at an eclipse of the Sun causes harm to the eyes,looking directly at an eclipse of the Sun causes harm to the,3,trees,clouds,rocks,organic light receptacle
13-767,metamorphosis is a stage in the life cycle process of some animals,Some animals change their appearance completely during a stage of the life cycle known as,0,metamorphosing,metal,Seven,drawing
13-769,a bat births live young,Baby bats start doing what after at least a month after birth?,0,scavenging,teaching class,time traveling,making magic
13-771,electrical insulation requires wrapping a conductor in an insulator,which one of these would ensure the least amount of risk to make contact with?,3,an electric wire wrapped in water,an electric wire wrapped in metal,an electric wire wrapped in steel,an electric wire wrapped in thick cotton
13-773,a producer is a source of energy for consumers,a producer is a source of energy for,2,shoes,poetry,external food eaters,rubber
13-776,a warm front causes cloudy and rainy weather,If I hear about a warm front I can expect to bring what with me to work?,2,time traveling,candles,an umbrella,a wagon
13-777,wind is a renewable resource,To have energy that will last your whole life you'd buy a,2,car battery,loaf of bread,turbine,tank of gas
13-778,rocks sometimes contain iron,What substance found in rocks shares it's name with an object which can take wrinkles from an item worn on the body to cover the skin from the elements?,0,Iron,Stove,Copper,Steamer
13-780,a canyon is made of rocks,The below surface pebbles of the rio grande are of non rough edges because of?,3,fish movement,rough rocks,smoothness,fluid moving
13-782,recycling has a positive impact on the environment,recycling has a positive impact on the,3,rocks,message boards,animes,surrounding creature homes
13-783,a prism refracts light,What do you need to see a rainbow?,0,water,sea monsters,bats,leprechauns
13-786,if members of a species are born then the population of that species increases,if members of a species are born then the species what increases?,1,water,community,understanding,food
13-787,roots anchor plants into the soil,"if a tree stands firm during a windy day, which of these could be holding it in place?",3,the leaves on the branches,the sap in the tree,the branches on the stem,the roots in the ground
13-788,a mammal usually nurses its offspring,A mammal usually nurses its what?,3,parents,ears,head,younglings
13-789,a mammal is warm-blooded,If you were looking for a cold blooded animal a donkey would be,1,a stuffed animal,the wrong animal,the right animal,a fictional animal
13-790,adding salt to a solid decreases the freezing point of that solid,Salt was at one time,0,currency,unrealistic,imaginary,a feeling
13-792,"as energy required for an activity increases , pulse will increase",As wolves need more energy to catch fast prey,2,their pulse will decrease,their shoes will wear out,their heart rates will go higher,they will start using vehicles to chase their prey
13-794,a sandbar is formed by water moving sediment downstream,A place without a sand bar is indicative of which of these characteristics?,2,a flow of sedimentation to settle,a stacking of silty sediments,a downstream movement without sediments,a rapid movement of sediments for downward deposit
13-795,a consumer can not produce its own food,A consumer is unable to produce its own what?,3,offspring,children,emotions,sustenance
13-796,"as the thickness of an object increases , the resistance to damage of that object will increase",What is most impervious to an ax?,3,a thin branch,a neck,a twig,a boulder
13-797,"as the amount of food an animal eats decreases , that organism will become thinner","If an animals starts eating fewer calories than its used to, its body will eventually",2,float,fly,shrink,get bigger
13-798,a tectonic plate moves along a fault line,Tectonic plates are like a large,1,pizza,jenga,marshmallow,candy cane
13-799,some raccoons live in hollow logs,"If a thing is residing in a hollowed out part of a tree, then it is probably",3,a whale,an antelope,a person,a scavenger
13-801,poison causes harm to living things,Poison causes harm to,2,car engines,televisions,wombats,corpses
13-802,An example of an inherited behavior is a bird building a nest,A gull will build a nest because,1,it saw other gulls doing the same,of something in its genes,it wants to tidy up the area,it's mother taught it to do that
13-803,a paper clip is often made of ferromagnetic metals,a paper clip is often made of ferromagnetic,0,hard shiny material,cake,water,rubber
13-804,a thermal insulator slows the transfer of heat,One way to retain your own thermal energy is to,1,sit in snow,wear fluffy socks,sleep in freezers,bathe in ice
13-805,dead organisms are the source of nutrients for decomposers,A decomposer might thrive more on,3,Magic,Jupiter,Time Traveling,Old turkey
13-807,snowy means a large amount of snow,After a whiteout you need to,0,remove snow,login to Warcraft,wish for snow,apply suntan lotion
13-808,a camera is used for recording images,Which would you use to record a live basketball game,1,a camera bag,a GoPro,a Nikon lens,a camera flash
13-809,sedimentary rocks are formed from sediment compacting together,A heavy glacier moving across a continent affects what's underneath it by,0,compaction,salt tectonics,arctic foxes,exfoliation
13-810,a reptile is cold-blooded,"Cold-blooded animals are unable to live in cold climates, which is why you always see this type of creature in  hot areas",2,remote,eggshells,Iguanas,candy blooded
13-811,oceans contains most of earth 's water,oceans contains most of earth 's,0,wet sustenance,trees,clouds,shoes
13-812,a monkey births live young,A monkey births live what?,1,hares,younglings,rats,dogs
13-813,"as a source of light becomes closer , that source will appear brighter","as a source of light becomes closer , that source will appear",0,heavily luminous,sweeter,darker,louder
13-814,some humans live in houses,some humans live in,2,volcanoes,bombs,constructed environment repellents,leaves
13-816,a spider web is used to capture food by spiders,which of these would have a better chance at thriving?,3,a woman starving every day,mosquito on mars in space,a man without money to eat,a spider with an abundance of prey in web
13-818,rubber is an thermal insulator,Rubber will keep,0,heat from spreading,Balls from bouncing,Wheels from rolling,pucks from sliding.
13-819,crumple means change shape from smooth into compacted by physical force,crumple means change shape from smooth into,0,lots of folds and ridges,extra smooth all over,a pile of burned ash,a wet mushy pike
13-822,cycles of day and night occur once per day,cycles of day and night occur once per,1,month,86400 seconds,decade,year
13-823,lightning can cause a forest fire,What can cause a forest fire?,3,littering cans and food wrappers,an overheating car engine,a combination of snow and rain,sudden electrostatic discharge from a cloud
13-825,An example of playing a musical instrument is strumming a guitar string,An example of playing a musical instrument is what?,3,driving,flying,walking,banging drums
13-826,grey clouds appear before precipitation,It's most likely to rain when the color of the sky looks,3,Seven,eggshells,meteor strike,dark and Silvery
13-830,An electrical conductor is a vehicle for the flow of electricity,An example of a conductor might be,2,carrots,wood,a nickel,magic
13-833,braking can cause skidding,in which of these conditions could one most likely skid off the road?,2,driving on a dry day,driving in optimal conditions,driving on an icy day,driving on a clear day
13-835,predators eat other animals,"When observing animals in the wild, which of these are you most likely to see?",1,A frog stalking a rabbit,A bear sticking its claws in the river,A wolf hunting an eagle,A tiger hunting a dolphin
13-836,an incandescent light bulb converts electricity into heat by sending electricity through a filament,"Thermal energy is used in a light bulb, which makes filaments",3,quite chilly,cool to touch,frosted over,hurt to touch
13-838,disguise means change appearance to hide,Which animal is likeliest to be hidden in plain sight?,2,a worm on the sidewalk,a giraffe in the city,a zebra in a pack,a human in a car
13-839,"when available resources decrease in an environment , organisms have to conserve those resources",An example of conservation is avoiding the use of,1,clothes,gasoline,snow,air
13-841,soil is formed by weathering,The elements will over time level,0,mountains,the seas,god,giants
13-842,lava is found above the ground,The movement of lava might be compared to that of a,0,sloth,Cheetah,Sail fish,Spaceship
13-843,a frog eats insects,A frog eats,2,flowers,grains,six legged creatures,cheeseburgers
13-844,strumming a string can cause that string to vibrate,You can hear,0,a electric viola,a perfume,a thought,a prism
13-845,An example of a seasonal change is plants becoming dormant in the winter,"Many things in nature change during the seasons, and the most noticeable one in winter is that the plants all",1,fly away,shrivel away,cry,dance
13-848,illness has a negative impact on an organism 's health,Someone with Lupus is probably in,3,robust health,excellent health,tip top health,shoddy health
13-851,a landslide is when gravity rapidly moves rocks or soil downhill especially after a rain storm,Seasonal water fall in Columbia causes whole towns to,3,gain tourism,have tea,become clean,slide away
13-853,"as heat and moisture increases , the strength of a hurricane will increase",The strength of a hurricane increases as moisture and what increase?,0,hotness,animals,water,anger
13-854,reducing bacteria in food prevents illness in people,"Bacteria will build up on food if you leave it out, so if you make sure its protected from the air, you can",3,go to space,lift a bus,Fly,avoid falling ill
13-855,digestion is when an organism takes in nutrients from food into itself by eating,Digestion is when an organism takes in nutrients from what?,0,sustenance,food chart,wind,gales
13-857,dew is formed when water vapor condenses over night,"If a day is dawning and grass is glistening, then",0,the night was chilly,the night was hot,the snow is yellow,the yard is burned
13-858,hydropower requires damming a river,To make hydropower you need,1,to burn fossil fuels,to stop or slow moving water,to fill a pool with water,to put up windmills
